year	countrycode	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	BE	1kmE3932N3037	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3933N3029	359	Mammalia	5218786	Procyon lotor	1	11.0	86400	21001
2024	BE	1kmE3933N3106	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3934N2992	359	Mammalia	5218786	Procyon lotor	1	26421.0	1	21001
2024	BE	1kmE3934N3020	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3934N3039	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	FR	1kmE3935N2951	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3935N3004	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3935N3012	359	Mammalia	5218786	Procyon lotor	1	30.0	86400	21001
2024	BE	1kmE3936N3000	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3936N3026	359	Mammalia	5218786	Procyon lotor	1	34.0	86400	21001
2024	BE	1kmE3937N3004	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2024	BE	1kmE3938N3085	359	Mammalia	5218786	Procyon lotor	1	60.0	86400	21001
2024	BE	1kmE3939N3067	359	Mammalia	5218786	Procyon lotor	1	60.0	86400	21001
2024	BE	1kmE3942N3041	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3942N3142	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3943N3027	359	Mammalia	5218786	Procyon lotor	2	5.0	86400	21001
2024	BE	1kmE3943N3042	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3943N3137	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2024	BE	1kmE3943N3142	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3944N3027	359	Mammalia	5218786	Procyon lotor	1	2.0	86400	21001
2024	BE	1kmE3944N3137	359	Mammalia	5218786	Procyon lotor	2	10.0	86400	21001
2024	BE	1kmE3945N3022	359	Mammalia	5218786	Procyon lotor	1	30.0	86400	21001
2024	BE	1kmE3945N3039	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3945N3094	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3945N3145	359	Mammalia	5218786	Procyon lotor	3	4.0	86400	21001
2024	BE	1kmE3946N3021	359	Mammalia	5218786	Procyon lotor	2	8.0	86400	21001
2024	BE	1kmE3946N3032	359	Mammalia	5218786	Procyon lotor	1	51.0	86400	21001
2024	BE	1kmE3946N3135	359	Mammalia	5218786	Procyon lotor	20	4.0	86400	21001
2024	BE	1kmE3946N3153	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3947N3016	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3947N3137	359	Mammalia	5218786	Procyon lotor	1	60.0	86400	21001
2024	BE	1kmE3947N3154	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3948N3022	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3948N3023	359	Mammalia	5218786	Procyon lotor	1	4.0	1	21001
2024	BE	1kmE3948N3091	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3948N3108	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	FR	1kmE3949N3002	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3949N3139	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3949N3140	359	Mammalia	5218786	Procyon lotor	2	15.0	86400	21001
2024	BE	1kmE3950N2998	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3950N3140	359	Mammalia	5218786	Procyon lotor	31	3.0	86400	21001
2024	BE	1kmE3950N3141	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3951N3002	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3951N3007	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3951N3035	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3951N3103	359	Mammalia	5218786	Procyon lotor	1	10.0	86400	21001
2024	FR	1kmE3952N2856	359	Mammalia	5218786	Procyon lotor	1	1000.0	1	21001
2024	BE	1kmE3952N2986	359	Mammalia	5218786	Procyon lotor	1	31.0	86400	21001
2024	BE	1kmE3952N2993	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3952N3027	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3952N3031	359	Mammalia	5218786	Procyon lotor	2	3.0	86400	21001
2024	BE	1kmE3952N3105	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3953N2981	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
